方法,方法类型,折数,准确率,F1分数
度量学习,few_shot_learning,1,0.8636363636363636,0.8640585420771179
度量学习,few_shot_learning,2,0.8095238095238095,0.8092859521430951
度量学习,few_shot_learning,3,0.8571428571428571,0.8552532123960697
度量学习,few_shot_learning,4,0.9523809523809523,0.9528344671201814
度量学习,few_shot_learning,5,0.9047619047619048,0.9042728202392067
匹配网络,few_shot_learning,1,0.9090909090909091,0.9090909090909091
匹配网络,few_shot_learning,2,0.7619047619047619,0.734920634920635
匹配网络,few_shot_learning,3,0.7619047619047619,0.75929212264616
匹配网络,few_shot_learning,4,0.8571428571428571,0.8547539417104634
匹配网络,few_shot_learning,5,0.9047619047619048,0.9047619047619048
原型网络,few_shot_learning,1,0.8636363636363636,0.8623376623376623
原型网络,few_shot_learning,2,0.8095238095238095,0.8015873015873017
原型网络,few_shot_learning,3,0.8571428571428571,0.8552532123960697
原型网络,few_shot_learning,4,0.9047619047619048,0.9021367521367522
原型网络,few_shot_learning,5,0.8571428571428571,0.857843137254902
支持向量机,traditional_ml,1,0.9090909090909091,0.9101010101010101
支持向量机,traditional_ml,2,0.8095238095238095,0.8025149453720882
支持向量机,traditional_ml,3,0.8095238095238095,0.8102453102453102
支持向量机,traditional_ml,4,0.9047619047619048,0.8849206349206349
支持向量机,traditional_ml,5,0.8571428571428571,0.8637009189640769
随机森林,traditional_ml,1,0.8181818181818182,0.8131313131313131
随机森林,traditional_ml,2,0.6666666666666666,0.6231292517006802
随机森林,traditional_ml,3,0.6666666666666666,0.5955026455026454
随机森林,traditional_ml,4,0.9047619047619048,0.9015873015873016
随机森林,traditional_ml,5,0.8571428571428571,0.8571428571428571
决策树,traditional_ml,1,0.7272727272727273,0.7222222222222222
决策树,traditional_ml,2,0.6190476190476191,0.6067731440402248
决策树,traditional_ml,3,0.7142857142857143,0.7113997113997114
决策树,traditional_ml,4,0.6666666666666666,0.6536996336996337
决策树,traditional_ml,5,0.6666666666666666,0.6666666666666666
XGBoost,traditional_ml,1,0.7272727272727273,0.7222222222222222
XGBoost,traditional_ml,2,0.5238095238095238,0.5093795093795093
XGBoost,traditional_ml,3,0.8095238095238095,0.811111111111111
XGBoost,traditional_ml,4,0.9047619047619048,0.8849206349206349
XGBoost,traditional_ml,5,0.8095238095238095,0.8065448401582854
LightGBM,traditional_ml,1,0.6363636363636364,0.625974025974026
LightGBM,traditional_ml,2,0.6190476190476191,0.5915804002760525
LightGBM,traditional_ml,3,0.8095238095238095,0.8084656084656084
LightGBM,traditional_ml,4,0.9047619047619048,0.9059523809523808
LightGBM,traditional_ml,5,0.7142857142857143,0.7103174603174602
